Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArcTest,,,2019-01-10 12:45:09,2019-01-10 12:45:54,45.017s,FAILED
,,,,,,
Test Cases/LoginArc,,,2019-01-10 12:45:10,2019-01-10 12:45:54,44.402s,FAILED
openBrowser,,,2019-01-10 12:45:10,2019-01-10 12:45:54,43.931s,FAILED
