Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArcTest,,,2019-01-10 15:59:17,2019-01-10 16:00:04,47.737s,FAILED
,,,,,,
Test Cases/LoginArc,,,2019-01-10 15:59:17,2019-01-10 16:00:04,47.115s,FAILED
openBrowser,,,2019-01-10 15:59:18,2019-01-10 16:00:02,44.365s,FAILED
