Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArcTest,Firefox 62.0,,2019-01-14 16:02:02,2019-01-14 16:03:05,1m - 2.371s,PASSED
,,,,,,
Test Cases/LoginArc,Firefox 62.0,,2019-01-14 16:02:03,2019-01-14 16:03:05,1m - 1.856s,PASSED
"Statement - java.lang.System.setProperty(""webdriver.gecko.driver"", ""/opt/Katalon_Studio/configuration/resources/drivers/firefox_linux64/geckodriver"")",Firefox 62.0,,2019-01-14 16:02:03,2019-01-14 16:02:03,0.085s,PASSED
openBrowser,Firefox 62.0,,2019-01-14 16:02:03,2019-01-14 16:02:30,26.581s,PASSED
delay,Firefox 62.0,,2019-01-14 16:02:30,2019-01-14 16:02:40,10.319s,PASSED
click,Firefox 62.0,,2019-01-14 16:02:40,2019-01-14 16:02:41,0.566s,PASSED
setText,Firefox 62.0,,2019-01-14 16:02:41,2019-01-14 16:02:41,0.542s,PASSED
setEncryptedText,Firefox 62.0,,2019-01-14 16:02:41,2019-01-14 16:02:42,0.660s,PASSED
click,Firefox 62.0,,2019-01-14 16:02:42,2019-01-14 16:02:43,0.509s,PASSED
click,Firefox 62.0,,2019-01-14 16:02:43,2019-01-14 16:02:48,5.403s,PASSED
click,Firefox 62.0,,2019-01-14 16:02:48,2019-01-14 16:03:02,13.998s,PASSED
closeBrowser,Firefox 62.0,,2019-01-14 16:03:02,2019-01-14 16:03:03,0.441s,PASSED
